,T1 (Celsius),P1 (MPa),P6 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,36.044,29.509,25000.0
1,417.895,8.211,0.01,36.675,28.975,25000.0
2,435.789,8.421,0.009,37.302,28.478,25000.0
3,453.684,8.632,0.009,37.928,28.016,25000.0
4,471.579,8.842,0.008,38.554,27.589,25000.0
5,489.474,9.053,0.008,39.18,27.195,25000.0
6,507.368,9.263,0.007,39.808,26.836,25000.0
7,525.263,9.474,0.007,40.441,26.517,25000.0
8,543.158,9.684,0.006,40.927,25.133,25000.0
9,561.053,9.895,0.006,41.496,24.393,25000.0
10,578.947,10.105,0.005,42.07,23.681,25000.0
11,596.842,10.316,0.005,42.649,22.994,25000.0
12,614.737,10.526,0.004,43.236,22.331,25000.0
13,632.632,10.737,0.004,43.836,21.689,25000.0
14,650.526,10.947,0.003,44.452,21.064,25000.0
15,668.421,11.158,0.003,45.093,20.453,25000.0
16,686.316,11.368,0.002,45.768,19.852,25000.0
17,704.211,11.579,0.002,46.494,19.254,25000.0
18,722.105,11.789,0.001,47.303,18.648,25000.0
19,740.0,12.0,0.001,48.26,18.014,25000.0
