,T1 (Celsius),P1 (MPa),P4 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,33.27685817490311,22.883076420172976,25000.0
1,417.89473684210526,8.210526315789474,0.009526315789473685,33.81816762770971,22.160418252318966,25000.0
2,435.7894736842105,8.421052631578947,0.009052631578947368,34.35696538583819,21.47279467207721,25000.0
3,453.6842105263158,8.631578947368421,0.008578947368421054,34.89411441573439,20.81697138705809,24999.999999999996
4,471.57894736842104,8.842105263157894,0.008105263157894737,35.43043472129982,20.190143084895215,25000.000000000004
5,489.4736842105263,9.052631578947368,0.0076315789473684215,35.96672239546013,19.589853658778914,25000.0
6,507.36842105263156,9.263157894736842,0.007157894736842105,36.5037977684896,19.013909533419845,25000.0
7,525.2631578947369,9.473684210526315,0.00668421052631579,37.04255838990588,18.46030760764444,24999.999999999996
8,543.1578947368421,9.68421052631579,0.0062105263157894745,37.58403574375144,17.927176330317604,25000.0
9,561.0526315789474,9.894736842105264,0.005736842105263158,38.12946131026703,17.412724177781133,25000.0
10,578.9473684210526,10.105263157894736,0.005263157894736842,38.6803510637764,16.915189352926898,25000.000000000004
11,596.8421052631579,10.31578947368421,0.004789473684210527,39.23862221605172,16.432783876019734,25000.0
12,614.7368421052631,10.526315789473685,0.00431578947368421,39.80676475638315,15.963623029840113,25000.0
13,632.6315789473684,10.736842105263158,0.003842105263157895,40.388107511033226,15.50562589354435,25000.0
14,650.5263157894738,10.947368421052632,0.003368421052631579,40.98725388859491,15.056361251789083,25000.0
15,668.421052631579,11.157894736842106,0.0028947368421052633,41.61084086427807,14.61278740144557,25000.0
16,686.3157894736842,11.368421052631579,0.0024210526315789475,42.268964795054345,14.17077170773874,25000.0
17,704.2105263157895,11.578947368421051,0.0019473684210526317,42.97813796552118,13.724104480504833,25000.0
18,722.1052631578948,11.789473684210526,0.0014736842105263158,43.76832325348624,13.262169817150777,25000.0
19,740.0,12.0,0.001,44.703572059122585,12.763161992707023,25000.0
